Year, Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec , J-D , D-N , DJF , MAM , JJA , SON
2005, .75 , .60 , .74 , .67 , .63 , .65 , .61 , .60 , .72 , .76 , .74 , .67 , .68 , .66 , .62 , .68 , .62 , .74
2006, .56 , .74 , .63 , .47 , .48 , .66 , .54 , .70 , .66 , .70 , .74 , .79 , .64 , .63 , .66 , .52 , .64 , .70
2007, 1.02, .70 , .72 , .76 , .69 , .61 , .60 , .60 , .60 , .59 , .59 , .50 , .66 , .69 , .84 , .72 , .60 , .59
2008, .30 , .38 , .75 , .54 , .50 , .49 , .60 , .46 , .61 , .67 , .69 , .54 , .54 , .54 , .39 , .60 , .52 , .66
2009, .65 , .53 , .54 , .61 , .65 , .64 , .74 , .69 , .71 , .66 , .79 , .67 , .66 , .65 , .57 , .60 , .69 , .72
2010, .75 , .84 , .92 , .85 , .76 , .68 , .63 , .67 , .63 , .72 , .81 , .45 , .73 , .74 , .75 , .84 , .66 , .72
2011, .52 , .47 , .66 , .64 , .53 , .62 , .70 , .75 , .56 , .66 , .59 , .60 , .61 , .60 , .48 , .61 , .69 , .60
2012, .47 , .48 , .57 , .73 , .78 , .64 , .59 , .66 , .72 , .80 , .78 , .53 , .65 , .65 , .52 , .69 , .63 , .77
2013, .71 , .62 , .67 , .53 , .60 , .69 , .60 , .71 , .77 , .70 , .84 , .70 , .68 , .66 , .62 , .60 , .67 , .77
2014, .77 , .55 , .78 , .81 , .87 , .67 , .58 , .84 , .88 , .81 , .67 , .79 , .75 , .74 , .67 , .82 , .70 , .78
2015, .87 , .91 , .96 , .75 , .80 , .82 , .73 , .79 , .84 , 1.07, 1.06, 1.17, .90 , .87 , .86 , .84 , .78 , .99
2016, 1.18, 1.37, 1.35, 1.09, .96 , .81 , .84 , 1.02, .90 , .87 , .92 , .86 , 1.01, 1.04, 1.24, 1.14, .89 , .90
2017, 1.02, 1.14, 1.17, .94 , .92 , .71 , .82 , .87 , .75 , .89 , .88 , .93 , .92 , .91 , 1.01, 1.01, .80 , .84
2018, .82 , .85 , .88 , .89 , .82 , .77 , .83 , .78 , .81 , 1.01, .84 , .93 , .85 , .85 , .87 , .86 , .80 , .89
2019, .93 , .96 , 1.17, 1.01, .87 , .91 , .94 , .95 , .93 , .99 , .99 , 1.12, .98 , .96 , .94 , 1.02, .93 , .97
2020, 1.18, 1.24, 1.18, 1.12, 1.00, .91 , .89 , .86 , .97 , .87 , 1.09, .80 , 1.01, 1.04, 1.18, 1.10, .89 , .98
2021, .82 , .64 , .89 , .76 , .79 , .85 , .92 , .81 , .92 , .99 , .93 , .88 , .85 , .84 , .75 , .82 , .86 , .94
2022, .91 , .89 , 1.05, .84 , .84 , .93 , .94 , .95 , .89 , .97 , .73 , .80 , .89 , .90 , .89 , .91 , .94 , .86
2023, .88 , .97 , 1.23, .99 , .94 , 1.08, 1.19, 1.19, 1.48, 1.34, 1.42, 1.37, 1.17, 1.13, .88 , 1.06, 1.16, 1.41
2024, 1.25, 1.44, 1.39, 1.32, 1.16, 1.24, 1.20, 1.30, 1.23, 1.34, 1.29, 1.27, 1.29, 1.29, 1.36, 1.29, 1.25, 1.29
2025, 1.37, 1.25, 1.36, 1.23, *** , *** , *** , *** , *** , *** , *** , *** , *** , *** , 1.30, *** , *** , ***
